Month,Sales
1/1/2020,266
1/2/2020,145.9
1/3/2020,183.1
1/4/2020,119.3
1/5/2020,180.3
1/6/2020,168.5
1/7/2020,231.8
1/8/2020,224.5
1/9/2020,192.8
1/10/2020,122.9
1/11/2020,336.5
1/12/2020,185.9
2/1/2020,194.3
2/2/2020,149.5
2/3/2020,210.1
2/4/2020,273.3
2/5/2020,191.4
2/6/2020,287
2/7/2020,226
2/8/2020,303.6
2/9/2020,289.9
2/10/2020,421.6
2/11/2020,264.5
2/12/2020,342.3
3/1/2020,339.7
3/2/2020,440.4
3/3/2020,315.9
3/4/2020,439.3
3/5/2020,401.3
3/6/2020,437.4
3/7/2020,575.5
3/8/2020,407.6
3/9/2020,682
3/10/2020,475.3
3/11/2020,581.3
3/12/2020,646.9
